tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1002,0.0,25,0,296.0,0.0,4304.76,15.615910689635298,3622.92,5.9014122603549,135.68,0.47609522856951814,2176.52,5.538652062250004,976.28,127.26695041002068,1725167875.0,LOT-100,217709,86476,4524,118,3580,405,453,405,1808,3903,3489,118,291,291,53555,5,355111,5,215651,6
TRAY-1003,0.0,24,0,278.0,0.0,4303.625,6.933300236821866,3623.8333333333335,4.824454613616008,135.625,0.4945353550468436,2171.7916666666665,4.510655661071176,989.0833333333334,103.44665361879782,1725168465.0,LOT-101,217663,86444,4915,118,3546,404,456,404,1748,3895,3428,117,289,292,54316,5,354928,6,215656,5
TRAY-1004,0.0,25,0,264.0,0.0,4304.76,9.042860904234626,3625.28,4.495553358597823,135.84,0.3741657386773957,2170.04,5.791372894228136,1005.64,96.00038194368466,1725169520.0,LOT-100,217663,86444,4916,118,3555,405,456,405,1722,3892,3441,118,290,290,54095,4,355249,5,215782,5
TRAY-1005,0.0,25,0,284.0,0.0,4316.08,5.992495306631575,3623.88,4.850429534243982,135.64,0.4898979485566373,2180.2,4.864839839775512,983.56,104.56141735841189,1725170455.0,LOT-100,217504,86456,4872,119,3553,405,454,404,1763,3900,3435,118,290,291,54316,5,354928,6,215655,5
TRAY-1006,0.0,25,0,279.0,0.0,4298.76,7.230029967664977,3625.96,5.020624131187907,135.76,0.4358898943540693,2167.36,5.098038838612364,1033.16,108.29615259401723,1725170970.0,LOT-101,217504,86456,4873,118,3548,403,459,404,1767,3889,3476,118,290,290,18380,5,354831,6,215470,5
TRAY-1007,0.0,25,0,287.0,0.0,4291.0,7.708220719898014,3623.4,4.6097722286465315,135.8,0.4082482904638639,2167.12,4.815945736128421,985.88,98.00821394148556,1725171590.0,LOT-100,217901,86481,4978,119,3558,405,459,405,1792,3890,3409,118,290,290,54522,5,355271,5,215550,5
TRAY-1008,0.0,25,0,293.0,0.0,4298.68,8.050465825031386,3623.4,5.131601439446895,135.64,0.4898979485566345,2170.96,7.8606615497679035,973.0,102.1061539118317,1725172585.0,LOT-100,217901,86480,4978,118,3556,405,465,405,1748,3897,3411,118,290,290,54522,5,355271,5,215550,5
TRAY-1009,0.04,25,1,294.0,0.0,4292.4,6.0484157705412604,3623.8,4.958158260214489,135.64,0.4898979485566335,2167.24,5.277941517927857,989.48,103.86935704688527,1725173205.0,LOT-100,217980,86526,4486,119,3558,405,458,405,1675,3890,3425,118,290,291,54514,5,355450,7,215727,5
TRAY-1010,0.0,25,0,295.0,0.0,4287.72,8.546539260620955,3622.76,4.5025918461852035,135.92,0.2768874620972683,2165.84,4.624932431938895,972.68,93.49051645309628,1725174245.0,LOT-100,217980,86527,4486,118,3546,404,464,405,1682,3887,3396,118,290,290,54514,5,355449,7,215727,5
TRAY-1011,0.0,25,0,285.0,0.0,4263.68,7.733692520394221,3625.4,4.434711565216731,135.8,0.4082482904638657,2148.32,4.6611872593436345,1026.44,93.32205884284095,1725175000.0,LOT-100,217971,86619,4596,119,3541,404,458,404,1593,3875,3397,117,290,290,53555,5,355142,6,215260,5
TRAY-1012,0.04,25,1,291.0,0.0,4295.36,6.054474929064146,3623.72,4.894895300208211,135.72,0.45825756949558505,2169.44,4.435463147556643,989.6,103.9687453035767,1725175800.0,LOT-101,217971,86619,4596,119,3551,405,462,404,1911,3892,3443,118,291,291,52784,5,355101,6,215308,5
TRAY-1013,0.0,25,0,277.0,0.0,4294.24,5.68829206938835,3623.68,5.07214615982885,135.84,0.37416573867739733,2166.76,5.410483650592957,985.68,105.14066767906698,1725176615.0,LOT-100,217839,86545,4862,118,3552,404,456,405,1841,3889,3423,118,290,291,54049,5,355160,5,215946,8
TRAY-1014,0.0,25,0,286.0,0.0,4309.08,5.670978751503216,3623.56,4.223742416388592,135.72,0.4582575694955847,2177.52,3.0702877172452134,969.04,91.28868129912566,1725177550.0,LOT-100,217838,86546,4863,118,3556,404,451,404,1789,3896,3411,118,290,291,53951,5,355742,5,215070,5
TRAY-1015,0.0,25,0,288.0,0.0,4295.52,6.076731577638468,3625.76,5.270041113059125,135.72,0.45825756949558505,2168.24,4.754646849837309,1031.08,111.89985105739271,1725178515.0,LOT-100,217861,86464,4793,119,3558,405,460,405,1847,3889,3480,117,290,290,54490,5,355050,5,215797,5
TRAY-1016,0.0,25,0,271.0,0.0,4295.56,9.206338396271686,3625.92,4.415125517279504,135.84,0.3741657386773893,2165.36,4.644710252893364,1007.56,95.38740308167884,1725179465.0,LOT-100,217861,86464,4794,119,3553,404,452,404,1694,3890,3433,118,290,290,53721,5,356033,6,215338,5
TRAY-1017,0.0,25,0,276.0,0.0,4280.92,8.420807562223331,3627.12,5.044138512504811,135.72,0.4582575694955808,2156.0,4.5184805705752416,1046.76,112.18893290635522,1725180505.0,LOT-100,217659,86454,5373,118,3534,405,456,405,1912,3882,3498,118,290,290,54345,5,355134,5,215549,5
TRAY-1018,0.0,25,0,272.0,0.0,4297.48,6.449289366537467,3624.36,5.227172594561315,135.68,0.47609522856952385,2169.52,4.753244505948903,993.48,111.267365685841,1725181440.0,LOT-100,217659,86454,5373,119,3565,404,447,405,1820,3891,3445,118,290,290,54346,5,355135,5,215549,5
TRAY-1019,0.0,25,0,285.0,0.0,4292.72,8.580598269739967,3622.92,3.978274332756181,135.68,0.4760952285695241,2169.72,4.2182144721829005,970.72,87.48215056036668,1725182120.0,LOT-100,217594,86468,4886,118,3552,404,460,405,1748,3892,3395,118,290,290,53596,5,355312,5,215294,5
TRAY-1020,0.0,25,0,290.0,0.0,4287.76,9.386515150292372,3622.64,4.131989028704348,135.6,0.4999999999999988,2166.2,4.339738855430531,970.28,90.47721628491156,1725182695.0,LOT-100,217594,86469,4886,119,3559,405,457,404,1728,3886,3398,118,291,291,53669,5,355266,5,215251,5
TRAY-1021,0.0,25,0,288.0,0.0,4290.36,8.755379298846249,3624.0,4.907477288111849,135.64,0.48989794855663743,2165.8,4.102844541697244,1000.96,106.47318911350409,1725183330.0,LOT-100,217508,86460,4673,118,3546,405,462,404,1832,3891,3447,118,290,291,52893,7,354856,5,215594,8
TRAY-1022,0.0,25,0,290.0,0.0,4298.64,6.303967004989839,3622.12,4.11622804680854,135.84,0.37416573867738456,2173.48,4.39810565281613,955.48,83.5773693452161,1725184175.0,LOT-100,217508,86459,4673,119,3557,405,456,405,1721,3893,3369,118,290,290,54843,4,355537,5,215567,6
TRAY-1023,0.0,24,0,273.0,0.0,4279.166666666667,9.053784539779686,3624.75,4.2040353285239975,135.75,0.44232586846469135,2158.5416666666665,5.2831081650916785,996.5416666666666,93.63666095799402,1725184885.0,LOT-100,217066,86461,5732,118,3556,404,466,404,1797,3884,3428,118,290,290,53500,5,355357,5,215150,5
TRAY-1024,0.08,25,2,276.0,0.0,4286.68,7.487322618934007,3626.0,4.708148963941937,135.68,0.47609522856952186,2161.92,4.290687590585008,1022.2,106.61535224034735,1725185445.0,LOT-100,217065,86461,5733,119,3548,405,449,406,1815,3888,3471,118,289,291,54233,5,355276,5,215794,5
TRAY-1025,0.0,25,0,299.0,0.0,4280.64,7.89451286231992,3622.0,4.941322360124536,135.56,0.5066228051190228,2163.8,5.408326913196008,967.16,101.67869327772983,1725186410.0,LOT-100,217437,86493,4608,119,3565,405,462,405,1672,3888,3395,118,290,290,53669,5,355266,5,215251,5
TRAY-1026,0.0,24,0,293.0,0.0,4292.166666666667,8.090072642585998,3623.1666666666665,5.623449866923176,135.75,0.4423258684646921,2168.4583333333335,4.690222639256836,995.3333333333334,123.15902292376401,1725187195.0,LOT-100,217437,86494,4608,118,3576,404,453,404,1830,3895,3466,117,280,280,53556,5,355142,6,215260,5
