lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-100,TRAY-1002,217709,86476,4524,118,3580,405,453,405,1808,3903,3489,118,291,291,53555,5,355111,5,215651,6
LOT-100,TRAY-1004,217663,86444,4916,118,3555,405,456,405,1722,3892,3441,118,290,290,54095,4,355249,5,215782,5
LOT-100,TRAY-1005,217504,86456,4872,119,3553,405,454,404,1763,3900,3435,118,290,291,54316,5,354928,6,215655,5
LOT-100,TRAY-1007,217901,86481,4978,119,3558,405,459,405,1792,3890,3409,118,290,290,54522,5,355271,5,215550,5
LOT-100,TRAY-1008,217901,86480,4978,118,3556,405,465,405,1748,3897,3411,118,290,290,54522,5,355271,5,215550,5
LOT-100,TRAY-1009,217980,86526,4486,119,3558,405,458,405,1675,3890,3425,118,290,291,54514,5,355450,7,215727,5
LOT-100,TRAY-1010,217980,86527,4486,118,3546,404,464,405,1682,3887,3396,118,290,290,54514,5,355449,7,215727,5
LOT-100,TRAY-1011,217971,86619,4596,119,3541,404,458,404,1593,3875,3397,117,290,290,53555,5,355142,6,215260,5
LOT-100,TRAY-1013,217839,86545,4862,118,3552,404,456,405,1841,3889,3423,118,290,291,54049,5,355160,5,215946,8
LOT-100,TRAY-1014,217838,86546,4863,118,3556,404,451,404,1789,3896,3411,118,290,291,53951,5,355742,5,215070,5
LOT-100,TRAY-1015,217861,86464,4793,119,3558,405,460,405,1847,3889,3480,117,290,290,54490,5,355050,5,215797,5
LOT-100,TRAY-1016,217861,86464,4794,119,3553,404,452,404,1694,3890,3433,118,290,290,53721,5,356033,6,215338,5
LOT-100,TRAY-1017,217659,86454,5373,118,3534,405,456,405,1912,3882,3498,118,290,290,54345,5,355134,5,215549,5
LOT-100,TRAY-1018,217659,86454,5373,119,3565,404,447,405,1820,3891,3445,118,290,290,54346,5,355135,5,215549,5
LOT-100,TRAY-1019,217594,86468,4886,118,3552,404,460,405,1748,3892,3395,118,290,290,53596,5,355312,5,215294,5
LOT-100,TRAY-1020,217594,86469,4886,119,3559,405,457,404,1728,3886,3398,118,291,291,53669,5,355266,5,215251,5
LOT-100,TRAY-1021,217508,86460,4673,118,3546,405,462,404,1832,3891,3447,118,290,291,52893,7,354856,5,215594,8
LOT-100,TRAY-1022,217508,86459,4673,119,3557,405,456,405,1721,3893,3369,118,290,290,54843,4,355537,5,215567,6
LOT-100,TRAY-1023,217066,86461,5732,118,3556,404,466,404,1797,3884,3428,118,290,290,53500,5,355357,5,215150,5
LOT-100,TRAY-1024,217065,86461,5733,119,3548,405,449,406,1815,3888,3471,118,289,291,54233,5,355276,5,215794,5
LOT-100,TRAY-1025,217437,86493,4608,119,3565,405,462,405,1672,3888,3395,118,290,290,53669,5,355266,5,215251,5
LOT-100,TRAY-1026,217437,86494,4608,118,3576,404,453,404,1830,3895,3466,117,280,280,53556,5,355142,6,215260,5
LOT-100,TRAY-1027,217330,86479,4447,119,3547,405,461,404,1787,3886,3433,117,290,291,53765,5,354793,5,215662,5
LOT-100,TRAY-1028,217330,86480,4446,118,3567,406,459,405,1690,3893,3368,118,290,291,53409,5,354976,5,215709,5
LOT-100,TRAY-1030,217254,86563,4703,118,3552,405,460,404,1802,3892,3472,118,279,280,53595,5,355311,5,215293,5
LOT-100,TRAY-1033,217330,86495,5082,119,3555,405,458,405,1781,3893,3436,118,290,291,54233,5,355275,5,215795,5
LOT-100,TRAY-1039,217400,86509,5121,119,3569,404,449,405,1678,3896,3403,118,290,291,53950,5,355741,5,215069,5
LOT-100,TRAY-1041,213931,86507,4909,118,3580,405,451,404,1768,3905,3468,118,289,290,53337,5,356360,5,215232,6
LOT-100,TRAY-1042,213929,86507,4908,118,3558,405,454,405,1620,3889,3403,118,290,291,54096,4,355249,5,215782,5
LOT-100,TRAY-1043,214549,86616,4293,118,3555,404,459,404,1787,3888,3443,118,280,280,53868,5,355778,5,215591,5
LOT-100,TRAY-1044,214548,86616,4294,118,3554,405,454,405,1795,3889,3469,118,290,290,54490,5,355050,5,215797,5
LOT-100,TRAY-1047,214781,86475,5048,119,3562,404,451,405,1780,3893,3429,118,291,291,53721,5,356033,6,215338,5
LOT-100,TRAY-1048,214781,86475,5049,119,3578,405,454,404,1869,3897,3495,117,290,291,53870,5,355778,5,215592,5
LOT-100,TRAY-1049,217001,86521,4431,118,3565,404,453,404,1780,3897,3429,118,290,291,53223,5,355320,5,215112,6
LOT-100,TRAY-1050,217002,86521,4431,118,3564,406,452,405,1794,3895,3397,118,290,290,53284,5,355961,5,214870,5
LOT-100,TRAY-1053,217449,86462,4421,118,3576,405,447,404,1780,3893,3428,118,290,290,53321,5,355834,5,215603,5
LOT-100,TRAY-1055,217471,86476,4201,118,3563,404,452,405,1726,3897,3358,118,291,290,54843,4,355537,5,215567,6
LOT-100,TRAY-1056,217472,86476,4201,119,3567,406,461,405,1771,3893,3451,117,290,291,52446,5,355804,6,215281,8
LOT-100,TRAY-1059,217430,86587,4287,118,3553,405,469,405,1881,3894,3506,118,289,291,53409,5,354976,5,215709,5
LOT-100,TRAY-1072,218091,86612,47629,118,3595,405,452,405,1841,3909,3523,118,290,292,43018,5,344418,5,209670,5
LOT-101,TRAY-1003,217663,86444,4915,118,3546,404,456,404,1748,3895,3428,117,289,292,54316,5,354928,6,215656,5
LOT-101,TRAY-1006,217504,86456,4873,118,3548,403,459,404,1767,3889,3476,118,290,290,18380,5,354831,6,215470,5
LOT-101,TRAY-1012,217971,86619,4596,119,3551,405,462,404,1911,3892,3443,118,291,291,52784,5,355101,6,215308,5
LOT-101,TRAY-1029,217254,86564,4704,119,3554,404,459,404,1708,3898,3360,118,291,291,18379,5,354831,6,215470,5
LOT-101,TRAY-1031,217343,86497,5426,118,3550,406,468,405,1823,3893,3462,118,290,291,53320,5,355834,5,215604,5
LOT-101,TRAY-1032,217342,86497,5425,118,3549,405,454,405,1723,3889,3409,117,290,290,53130,5,355878,6,215140,6
LOT-101,TRAY-1034,217330,86495,5082,118,3536,404,457,405,14078,3863,18116,118,836,280,44519,9,349305,9,211497,10
LOT-101,TRAY-1035,217397,86493,5216,118,3563,405,459,405,1763,3893,3440,117,290,290,53284,5,355962,5,214870,5
