iter	Passed	Remaining
0	44	6642
1	71	5316
2	96	4734
3	117	4278
4	138	4003
5	160	3851
6	178	3656
7	198	3517
8	218	3419
9	238	3337
10	262	3317
11	287	3306
12	309	3257
13	330	3212
14	349	3149
15	369	3094
16	390	3051
17	413	3032
18	432	2984
19	453	2949
20	474	2912
21	494	2874
22	513	2835
23	535	2810
24	555	2778
25	576	2747
26	594	2709
27	615	2680
28	633	2645
29	656	2625
30	679	2608
31	700	2583
32	720	2554
33	741	2528
34	761	2501
35	780	2472
36	797	2436
37	816	2407
38	836	2381
39	855	2352
40	872	2320
41	890	2290
42	909	2262
43	927	2234
44	946	2208
45	964	2180
46	982	2153
47	1002	2129
48	1021	2105
49	1040	2080
50	1059	2055
51	1077	2031
52	1096	2006
53	1113	1979
54	1132	1956
55	1151	1933
56	1172	1913
57	1191	1889
58	1211	1868
59	1235	1852
60	1255	1831
61	1276	1812
62	1295	1789
63	1315	1767
64	1334	1745
65	1355	1725
66	1377	1706
67	1398	1686
68	1415	1661
69	1434	1639
70	1454	1618
71	1472	1594
72	1495	1577
73	1514	1555
74	1535	1535
75	1555	1514
76	1575	1494
77	1596	1474
78	1619	1455
79	1642	1437
80	1664	1418
81	1686	1398
82	1706	1377
83	1725	1355
84	1749	1337
85	1769	1316
86	1787	1294
87	1804	1271
88	1824	1250
89	1846	1230
90	1863	1207
91	1881	1186
92	1899	1164
93	1922	1145
94	1941	1124
95	1961	1103
96	1978	1081
97	1996	1059
98	2014	1037
99	2033	1016
100	2051	995
101	2068	973
102	2086	952
103	2106	931
104	2127	911
105	2146	890
106	2169	872
107	2192	852
108	2211	831
109	2229	810
110	2247	789
111	2264	768
112	2281	747
113	2298	725
114	2316	705
115	2338	685
116	2357	664
117	2374	643
118	2391	622
119	2409	602
120	2426	581
121	2445	561
122	2464	540
123	2484	520
124	2504	500
125	2524	480
126	2544	460
127	2563	440
128	2581	420
129	2600	400
130	2619	379
131	2640	360
132	2661	340
133	2681	320
134	2701	300
135	2718	279
136	2735	259
137	2753	239
138	2772	219
139	2787	199
140	2804	179
141	2822	159
142	2841	139
143	2859	119
144	2877	99
145	2898	79
146	2913	59
147	2933	39
148	2950	19
149	2968	0
